"title","text","modified","created","color","tags","type"
"🎭 aspects","## **Mortal aspects**

As well as gods, mortals of all [[🧑 races]] also contain aspects, though they're much more hidden, and more psychological. At times, these aspects can be drawn out from a being by a powerful (usually godly) force. Respectively, they represent the entity's mind, body, and soul.

### **Lustrous (mind)**

A radiant, regal aspect revealed when communing with gods or receiving godly boons. Almost gratuitous in its fanciness and impressiveness.

### **Somber (body)**

A sunken, dark aspect revealed when in places between life and death or when in times of unbelievable cruelty. Muted and sickly, but not without its own decoration.

### **Unavailing (soul)**
The most common aspect, embodied by mortals at any other time. Religious debate attempts to define more base interpretations of the aspect, such as states of self-mummification, nakedness, or hairlessness. Most are fringe beliefs, and are concentrated to scholars on [[⏳ Krom]] or [[☁️ Fomrh]].

---

## **Godly aspects**

[[😇 gods]] of all orders have different forms, which they demonstrate at different times based on certain conditions:
- Current worshipper(s)
- Location of manifestation
- Ceremony of some sort
- Godly ""age""
- Temperament/whim *(it's almost always dependant on mood)*","20230502225621042","20220331154908080","#fa9600","[[👤 people]]","text/x-markdown"
"🏢 companies","","20230502225621044","20220313221201910","#fa9600","[[👤 people]]","text/x-markdown"
"🏺 history","","20230502223907499","20220602214000257","#9600fa","","text/x-markdown"
"🐐 Aaliat","## **Plane of:** Fauna
## **Primary lifeforms:** Zoofolk

---

Similarly to [[⚖️ Balx]] or [[The Mortar]], Aaliat is not one world, but is instead collection of small demi-planes. Each disc-shaped plane sits stacked on top of the last, and each has its own atmosphere, local stars, and edges. Shifting slightly at all times over top of each other, each demi-plane corresponds to a particular environment conducive biological life. There are 5 demi-planes in total, each with their own sub-ecosystems and populations.

From top to bottom, the demi-planes are ordered as such: [[Nerra]] > [[Eutsa]]  > [[Espoc]] > [[Æo]] > [[Laiag]]","20230502223919769","20211226163000442","#ffffff","[[🌍 planes]] Bhava","text/x-markdown"
"🐟 Sparce wildlife","Though vast and seemingly uninhabitable, [[⚫ The Sparce]] has thousands of indigenous species, most of which are nomadic, and spend their lives migrating along [[🌌 The Flow]]. Botanists are unsure whether Sparce animals evolved from [[planar|🌍 planes]] lifeforms, vice versa, or a mix of the two, but many similarities can be struck among wildlife from both domains. Animals native to The Sparce often bear some identifying features:

- Bioluminescence (and/or bioluminescent protrusions)
- [[Flow|🌌 The Flow]]-breathing gills or lungs
- Telepathic movement & species communication

## **Fish**
The most common animal sight in the Sparce, clustering near to [[🚀 starships]] as they fly. From small schools of minnows to gigantic whales. All bear distinctive bioluminescent protrusions.

## **Birds**
Rarer than fish, but not entirely uncommon. Most of these species do not possess legs, and instead 'fly' indefinitely through the void their entire lives. The most unrecognizable when compared to their planar cousins.

## **Mammals**
Sticking closest to planar orbits, Sparce mammals are primarily small, herbivorous, filter feeders. Bred for utilitarian purposes, diversity among this genus is heavily lacking, with only a few species dominating the top 80% of their entire population.","20230504172944726","20220508235828971","#fa9600","[[⚫ The Sparce]] [[🌌 The Flow]] [[❗ featured articles]]","text/x-markdown"
"👤 people","","20230502225621026","20211226231649937","#9600fa","","text/x-markdown"
"👥 cultures","","20230502225621044","20230428140749429","#9600fa","[[👤 people]]","text/x-markdown"
"💀 Reht","## **Plane of:** Mortality
## **Primary lifeforms:** Humanoids

---

A relatively tame [[plane|🌍 planes]], compared to its siblings. As the home of [[Humanoids]], it is full to the brink with streets, hamlets, villages, and dense cities. The spherical world is nearly entirely covered with living development, save for a few patches here and there. Its vertical cities and endless hamlets are well known throughout [[🌐 The Pantry]]. Though highly populated, many native residents seek passage off-world, and away from its daily struggles.

---

*Bustle springs from every nook and cranny all around you. Busy streets clogged with low-orbit starships frame and haphazard intersections and towering superstructures. The swell of people passing through markets, public squares, and homes piled upon homes is almost overwhelming. But there's a method to the madness, and the city seems to open its arms to you.*","20230502224047023","20211226162630464","#ffffff","[[🌍 planes]] Soetanto","text/x-markdown"
"💥 beam","","20220113025849227","20220111192430300","#000000","[[🔫 ship weapons]]","text/x-markdown"
"💰 chits","Most common currency in [[🌐 The Pantry]], minted and distributed by [[The Remora Guild]] and [[The 214th Isotoxal Compact]]. Designed to be a steady, widespread, easily manufactured money system. Exists in physical, digital, and special arcane form (for direct temple and church payments). Written in short-form as CHT.

The following denominations exist:

- ### Greater chit = Platinum
- ### Standard chit = Gold
- ### Lesser chit = Silver","20220604171724832","20220304210456636","","[[The 214th Isotoxal Compact]] [[The Remora Guild]]","text/x-markdown"
"💺 passenger","[[🚀 starships]] used for travel and tourism. Range of luxuries available, but all still expensive.

---

## **Lightweight**
### <<list-links '[tag[💺 passenger]tag[Lightweight]]'>>

## **Midweight**
### <<list-links '[tag[💺 passenger]tag[Midweight]]'>>

## **Heavyweight**
### <<list-links '[tag[💺 passenger]tag[Heavyweight]]'>>

---

*Players' note: Passenger starships have a HP modifier of +50, an AC of 14, and a Passive Perception of 11.*","20230502223744292","20211228024316048","#323232","[[🎛️ ship classes]]","text/x-markdown"
"💼 crew roles","## **Command section**
### <<list-links '[tag[💼 crew roles]tag[Command section]]'>>

## **Combat section**
### <<list-links '[tag[💼 crew roles]tag[Combat section]]'>>

## **Engineering section**
### <<list-links '[tag[💼 crew roles]tag[Engineering section]]'>>

## **Science section**
### <<list-links '[tag[💼 crew roles]tag[Science section]]'>>","20230502225621044","20211222015912438","#fa9600","[[👤 people]]","text/x-markdown"
"📄 documents","","20230605014720203","20230605014636408","","[[🏺 history]]","text/x-markdown"
"📅 events","Events and periods that have happened throughout history. [[🌐 The Pantry]] is incredibly old, and this many of its histories are calculated in terms of ages, rather than concrete points in time.

Long stretches during which very little change happened occurred before the time of the [[😇 gods]], before the formation of the [[🌍 planes]], and after the [[Aetivima Period]].

The full [[Consideration|Passage Consideration]] timeline can be viewed [[here|Full Consideration Timeline]].","20230502224103176","20220511025655440","#fa9600","[[🏺 history]]","text/x-markdown"
"📍 locations","","20230502224115558","20220209192940799","#fa9600","[[🌐 The Pantry]]","text/x-markdown"
"📏 ship weights","","20230502224109842","20211228023354007","#fa9600","[[⚙️ starship technology]]","text/x-markdown"
"📚 campaigns","","20230508141039361","20230502010621350","","","text/x-markdown"
"📛 crew sections","### <<list-links '[tag[📛 crew sections]]'>>","20230502225621046","20211222015215249","#fa9600","[[👤 people]]","text/x-markdown"
"📜 myths and stories","Tales and stories, mostly concerning [[godly|😇 gods]] feats and wisdoms. Each [[plane|🌍 planes]] has its own customs, culture, and thus mythologies, as well as newer ones originating in [[⚫ The Sparce]].

Also includes accounts of historical happenings and tales passed down, but not necessarily widely spread. A mix of true and untrue retellings.

The full [[Consideration|Passage Consideration]] timeline can be viewed [[here|Full Consideration Timeline]].","20230605014044648","20220511025432613","#fa9600","[[🏺 history]]","text/x-markdown"
"📝 lists","","20230428135246292","20220128182256309","#fa9600","[[🔒 private]]","text/x-markdown"
"🔒 private","","20230508141410972","20220526114453572","#00ffff","[[🔒 private]]","text/x-markdown"
"🔧 technology","","20230502224925546","20230103203713522","#fa9600","[[🌐 The Pantry]] [[❗ featured articles]]","text/x-markdown"
"🔫 ship weapons","The guns, cannons, beams, and trick weapons most commonly found in [[⚫ The Sparce]]. Only certain weapons can be mounted on certain [[📏 ship weights]], and only by [[shipwrights|Shipwright]] or in [[starship|🚀 starships]] workshops. Ship weapons continue to be powered by residual [[helm|🧢 ship helms]] power up to 1 hour after the [[Helmsperson]] stops piloting.

---

## **Blast weapons**
### <<list-links '[tag[☄️ blast]]'>>

## **Beam weapons**
### <<list-links '[tag[💥 beam]]'>>

## **Trick weapons**
### <<list-links '[tag[🧨 trick]]'>>","20230502223744296","20220111191844637","#fa9600","[[⚙️ starship technology]] [[🔧 technology]]","text/x-markdown"
"🔴 inner ring","","20230502225319021","20220512145706506","#329664","[[📍 locations]] [[⚫ The Sparce]]","text/x-markdown"
"🕰️ time periods","The full [[Consideration|Passage Consideration]] timeline can be viewed [[here|Full Consideration Timeline]].

---

### <<list-links '[tag[🕰️ time periods]]'>>","20230502223744297","20220602211647240","#fa9600","[[🏺 history]] [[❗ featured articles]]","text/x-markdown"
"🗓️ Crystal Ship Sessions","### <<list-links '[tag[🗓️ Crystal Ship Sessions]]'>>","20230502223744298","20220117171138211","#9600fa","[[🔒 private]]","text/x-markdown"
"🗓️ Hinengaro Heist Sessions","[img[images/TAG/Sessions_Flowchart.png]]","20230606211322868","20230508140943264","","[[🔒 private]] [[The Hinengaro Heist]]","text/x-markdown"
"🗣️ languages","### <<list-links '[tag[🗣️ languages]]'>>
- ### Abyssal/Infernal ([[Demons]])
- ### Celestial ([[Celestials]])
- ### Auran/Draconic/etc. ([[Zoofolk]])
- ### Dwarvish/Gnomish/Halfling/etc. ([[Humanoids]])
- ### Primordial ([[Primordials]])
- ### Elvish ([[Kromacvin]])
- ### Giant ([[Giants]])
- ### Deep Speech ([[😇 gods]])","20230502225621046","20220211162158573","#fa9600","[[👤 people]]","text/x-markdown"
"🗺️ provinces","Though vast, [[🌐 The Pantry]] is in fact sectioned into large swaths of [[⚫ The Sparce]] and [[plane|🌍 planes]] territories. There are 4 such provinces, each containing 2 planes, and roughly equal proportions of space.","20230502225242869","20220215232731922","#fa9600","[[🌐 The Pantry]]","text/x-markdown"
"🤝 organizations","[Organization name generator](https://www.fantasynamegenerators.com/alliance-names.php)","20230502225621047","20220111011648157","#fa9600","[[👤 people]]","text/x-markdown"
"🧑 races","## **Playable**
### <<list-links '[tag[🧑 races]tag[Playable races]]'>>

## **Non-playable**
### <<list-links '[tag[🧑 races]!tag[Playable races]]'>>","20230504190003604","20211226232348283","#fa9600","[[👤 people]] [[❗ featured articles]]","text/x-markdown"
"🧑‍🔬 figures","Important mortal and [[Oleald|Oleald]] beings from moments throughout history. Ranging from the [[Aetivima Period]] to present day, though many are still supported by half-truths and [[📜 myths and stories]].

The full [[Consideration|Passage Consideration]] timeline can be viewed [[here|Full Consideration Timeline]].

---

## **Mortals**
### <<list-links '[tag[🧑‍🔬 figures]!tag[Oleald]]'>>

## **[[Demigods|Oleald]]**
### <<list-links '[tag[🧑‍🔬 figures]tag[Oleald]]'>>","20230605013858184","20220512015644597","#fa9600","[[🏺 history]]","text/x-markdown"
"🧢 ship helms","The powerful, bioarcane devices that provide the navigation systems for [[🚀 starships]]. Requiring the use of a [[Helmsperson]] to guide and interface with them, they provide power for the ship's engines. For every 2 hours including and after 10 hours of piloting a helm, the user receives 1 point of exhaustion.

Due to their magical properties, they tend to form subtle semi-consciousnesses of their own, and present themselves to their Helmspeople in different manners. However, they are limited by their mechanical programming, and remain loyal and procedural.

---

### <<list-links '[tag[🧢 ship helms]]'>>

---

*Players' note: See the [[Starship movement]] article for more information on using ship helms.*","20230502223744300","20211226233140515","#fa9600","[[⚙️ starship technology]] [[🔧 technology]]","text/x-markdown"
"🧨 trick","","20220113025857396","20220111192332545","#000000","[[🔫 ship weapons]]","text/x-markdown"
"🧬 proto-races","A primitive, missing link between the evolution of [[Yyenwid]] and mortal beings / [[Oleald]]. Unbelievably rare, somewhat incorporeal, strangely innocent, and woefully destructive. Unknown to almost all of the public, save for a few devoted [[Sainthood]] officials and well-respected biologists.

## **Proto-Celestials**
Large masses of spinning wheels, wings, and eyes. While echoes of these features can be found in modern [[Celestials]], they are particularly accentuated here. Visual contact often leads to aneurysms and other neurological trauma.

## **Proto-Demons**
Tall and winged, with dark fleshy skin and small piercing eyes. Large masses or horns of various sizes crowd their heads. While inherently shy and animalistic, they do possess strong emotional intelligence, and respond in kind to the feeling of those around them.

## **Proto-Florafolk**
Large, interconnected root consciousnesses that are localized between many individuals and proteins. Though barely conscious, they possess pheremone-level control over their local environments and the beings within them. Often misclassified as infections, overgrowths, or birth defects.

## **Proto-Giants**
Ancient, nearly unthinking landscapes, ranging from mountains, to oceans, to forests. Similar to Proto-Primordials in their unseen intellect, but far less opinionated. Often conflated with [[godly influence|😇 gods]] or ecological phenomena.

## **Proto-Humanoids**
Extremely tall bipedal figures with elongated arms and legs, and a distinct lack of visage. They are curious, easily distracted, but also extremely vulnerable to physical assault. They contain within their bodies abstract pieces of cultural memory, art, and culture.

## **Proto-Kromacvin**
Extremely varied in form, with unfettered access to all [[Kromacvin]] evolutionary patterns. However, their inability to control this feature and their animalistic intelligence leaves them extremely dangerous to both themselves and others.

## **Proto-Primordials**
Largely inanimate, paradoxically-appearing structures, concentrated along [[Flow|🌌 The Flow]] leylines. Based upon places of worship and energy, they tend to display traits of unseen intelligence and genuine will upon those that come in contact with them.

## **Proto-Zoofolk**
*(under construction)*","20230411172256423","20221024192441138","","[[🧑 races]] [[🔒 private]]","text/x-markdown"
"🪝 harvest","[[🚀 starships]] designed for the purpose of harvesting [[🪨 Remora]] and other deep-[[sparce|⚫ The Sparce]] materials. Either sneaky and under-weaponized, or massive and heavily-protected.

---

## **Lightweight**
### <<list-links '[tag[🪝 harvest]tag[Lightweight]]'>>

## **Midweight**
### <<list-links '[tag[🪝 harvest]tag[Midweight]]'>>

## **Heavyweight**
### <<list-links '[tag[🪝 harvest]tag[Heavyweight]]'>>

---

*Players' note: Harvest starships have a HP modifier of -50, an AC of 12, and a Passive Perception of 14.*","20230502223744302","20211228024334993","#323232","[[🎛️ ship classes]]","text/x-markdown"
"🪨 Remora","Natural substance which gathers on the outsides of [[🚀 starships]] which have spent large amounts of time in [[🌌 The Flow]] currents in [[⚫ The Sparce]]. An opalescent, crystalline formation which hardens in shapes that evoke the subconscious thoughts of nearby sentient entities.

Often harvested for its mind-altering properties, it is harmless in small doses, but can be potentially dangerous when taken in large quantities. It is scraped off hulls of ships, boiled down to remove impurities, then cooled into crystals of various sizes. Most commonly ingested by being eaten, but can also be snorted or injected (to less effect). It is non-addictive, quasi-legal, and very misunderstood.

Regular Remora users develop a glossy, iridescent sheen that covers their fingernails, toenails, and some patches of skin. It is harmless, and slightly scaly to the touch.

Beyond its ingestion purposes, it is also used as a clean (but non-renewable) fuel for starships, repurposed for jewelery, and studied for scientific purposes.

---

## **Small dose (thumbnail-sized crystal)**
- Clearness of mind
- Heightened sensory perception (noise, smell, taste, touch)
- Slight decrease of visual contrast

## **Medium dose (finger-sized crystal)**
- Material worries start to fade away
- Animal-like sensory perception (up to 30 ft)
- Noticeable decrease in visual contrast

## **Large dose (palm-sized crystal)**
- Complete ignorance to all material and mortal concerns
- Overwhelming sensory perception (up to 60 ft)
- Near-total decrease of visual contrast

## **Huge dose (fist-sized crystal)**
- Lack of care to breathe evenly, eat, sleep, etc.
- Complete awareness of all perception (up to 120 ft)
- Total blindness

---

### <<list-links '[tag[🪨 Remora]]'>>","20230502235148211","20211226154432582","#fa9600","[[🌌 The Flow]] [[🔧 technology]]","text/x-markdown"
"😇 gods","### <<list-links '[tag[😇 gods]!tag[Claster]!tag[Voquev]!tag[Yyenwid]!tag[Oleald]]'>>

---

Gods have a very strong presence throughout [[🌐 The Pantry]]. Many lineages that descend from them, and their demi-god grandchildren still roam and rule.Though multitudinous and with many varied myths, the gods are still fundamentally other, alien. Gods have many forms and are worshipped in many different ways, by many different peoples. Whether this is an actual representation of the god itself duplicating, or an effect of culture, none know.

Though the [[Voquev]] are the primary deities of reverence, many minor [[Yyenwid]] are also worshipped, though in more specialized and less-public fashions. Even more so, the [[Oleald]] are made up by the many powerful grandchildren upon grandchildren of the Yyenwid.

The [[Claster]] are nearly forgotten to time. Whispers of ancient planar deities float through silent tombs and well-stocked libraries.

---

## **Most common godly worship**

### **Wellbeing (religion, health, family, etc.)**
- [[Yyenwid Anctu]]
- [[Yyenwid Pha'macu]]
- [[Yyenwid Ativi]]
- [[Yyenwid Mbeou]]
- [[Yyenwid Lumbe]]

### **Space travel**
- [[Yyenwid Glied]]
- [[Yyenwid Hueyo]]
- [[Voquev Umino]]
- [[Voquev Zephyriah]]

### **Technology/mechanics**
- [[Yyenwid Om'nd]]
- [[Voquev Qizsit]]
- [[Voquev Tieraal]]

### **Business**
- [[Yyenwid Ankno]]
- [[Yyenwid Gotia]]
- [[Voquev Thimdeit]]
- [[Yyenwid Smetki]]

### **Combat**
- [[Voquev N'tago]]
- [[Yyenwid Truge]]
- [[Voquev Ovrionne]]

### **Harvest (earth)**
- [[Voquev Tdohord]]
- [[Yyenwid Eligré]]
- [[Voquev Eagur]]
- [[Yyenwid Erda]]
- [[Voquev Densa]]

### **Harvest ([[🪨 Remora]])**
- [[Yyenwid Timula]]
- [[Voquev Umino]]
- [[Yyenwid Ureh]]

### **Mental health**
- [[Yyenwid Reavem]]
- [[Voquev Irrne]]
- [[Voquev Cstas]]

### **Funerary matters**
- [[Voquev Ovrionne]]
- [[Yyenwid Ompos]]","20230504174928195","20220108203853269","#fa9600","[[🌐 The Pantry]] [[🧑 races]]","text/x-markdown"
"🚀 starships","The vessels used by inhabitants of [[🌐 The Pantry]] to traverse [[⚫ The Sparce]]. Aerodynamic, arcanely-powered, and often weaponized, these crafts deliver goods between planes without the use of [[🚪 pestles]]. Because of this, they are nearly entirely unregulated, which often attracts a certain kind of clientele.

They are powered by the wills of their [[Helmsperson]]s, who use raw intellect to move the large vessels though the void. Starships are outfitted with select [[🧢 ship helms]] that make it easier for their pilots, and provide additional functionality to the ship. Each starship has individual [[💼 crew roles]], and each role is part of a [[section|📛 crew sections]].

Starships are named after aquatic animals, and typically mimic their names in their visual designs.

---

[Starship name generator](https://www.fantasynamegenerators.com/spaceship-names.php)","20230504185952732","20211226153119449","#fa9600","[[⚙️ starship technology]] [[⚫ The Sparce]] [[🔧 technology]] [[❗ featured articles]]","text/x-markdown"
"🚧 todo","### <<list-links '[tag[🚧 todo]]'>>","20230502223744309","20220601232920459","#00ffff","[[🔒 private]]","text/x-markdown"
"🚪 pestles","Magical two-way gateways between [[🌐 The Pantry]]'s 9 [[🌍 planes]]. Each pestle leads from [[The Mortar]] to one of the planes, and each is different. They are highly regulated, and each side is guarded and administrated by the plane to which it connects from The Mortar.

Most of the pestles are located in or around [[The Fulcrum]].

---

### <<list-links '[tag[🚪 pestles]]'>>","20230502223744309","20211226163459705","#fa9600","[[🌐 The Pantry]] [[🔴 inner ring]]","text/x-markdown"
